@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
102.915,0.729715,787
102.915,0.729715,899.9
103.205,0.728755,979.23
102.85,0.726215,879.04
102.357,0.7249,871.22
103.1,0.727151,885.98
103.252,0.728277,850.78
103.195,0.727695,862
103.195,0.727695,691
102.95,0.726771,673.62
102.633,0.727199,520
103.2205,0.72666,685
104.16,0.731676,610
104.0575,0.731388,595.03
104.075,0.731425,612.66
104.075,0.731425,654.76
104.079,0.729714,652.99
104.259,0.731101,679.01
104.405,0.73105,747
104.7115,0.730514,721.08
105.02,0.726478,715
105.165,0.727695,728
105.165,0.727695,736.51
105.0305,0.72385,732
105.283,0.725916,754.9
105.288,0.727645,784.19
104.85,0.731326,809.4
104.505,0.735032,828.79
104.855,0.735945,905
104.855,0.735945,919.24
104.375,0.733355,785
104.571,0.734535,823.45
104.841,0.735995,824.76
104.695,0.73578,852.61
104.072,0.732051,896.59
104.155,0.731475,844.05
104.155,0.731475,823
103.337,0.732925,815.99
103.842,0.731128,841.14
104.417,0.735057,814.4
104.3195,0.735213,797.2
104.306,0.737703,810
104.325,0.738495,842.07
104.325,0.738495,826.02
104.145,0.737314,824.89
104.037,0.737214,819.2
104.375,0.737735,812
103.645,0.731128,780
102.348,0.731255,806.8
102.295,0.731205,814.75
102.295,0.731205,751.95
102.365,0.731215,788
102.819,0.732153,794.21
102.166,0.731957,799.99
102.879,0.738231,803
102.2335,0.740596,813.23
102.045,0.741395,814.99
102.045,0.741395,808.5
101.16,0.739235,802.99
101.6025,0.740291,782.33
101.3655,0.739837,763.99
101.855,0.735383,705.01
102.259,0.734644,680.49
102.355,0.733405,687.37
102.355,0.733405,687.81
102.145,0.732855,675.1
102.629,0.732376,651.99
102.474,0.73583,604.11
102.196,0.731588,669
101.837,0.73046,655.83
101.805,0.730355,621
101.805,0.730355,633.66
101.893,0.729589,627.7
102.3435,0.726982,623.01
102.359,0.726689,561.86
102.33,0.730212,581.35
102.743,0.728615,610.88
102.515,0.7278,610.09
102.515,0.7278,535.49
102.455,0.727805,535
102.1865,0.727375,585.24
102.3555,0.7317,583
102.155,0.729246,551.89
102.1115,0.72435,567.48
101.805,0.724585,566.24
101.805,0.724585,677.69
101.376,0.726546,673
102.18,0.728391,669.99
102.365,0.728242,669.57
103.035,0.722241,632.79
103.35,0.72109,620
103.275,0.72046,640
103.275,0.72046,629.39
103.261,0.72057,632.1
103.096,0.721516,634.95
102.72,0.718975,641.01
101.7915,0.719109,630.42
101.44,0.718745,637.24
101.355,0.71865,634.99
101.355,0.71865,621.11
101.619,0.71813,612
101.361,0.718789,611.2
101.57,0.718605,587.98
102.4345,0.725316,570
102.298,0.725058,565.31
102.265,0.724745,561
102.265,0.724745,585.99
102.195,0.725242,583.77
102.275,0.724415,581.49
102.361,0.725426,475
102.131,0.727402,502.01
102.88,0.727437,491.99
102.815,0.727115,460
102.815,0.727115,454.83
103.074,0.726481,478.98
103.522,0.724759,439
103.776,0.726626,451.03
103.939,0.729124,452.2
103.313,0.729981,464.8
103.285,0.729605,456.27
103.285,0.729605,447.11
103.074,0.727749,453.57
101.9035,0.724848,441.69
102.017,0.724354,363.12
101.514,0.720186,423
101.568,0.719583,423.42
101.645,0.7202,416.3
101.645,0.7202,458.5
101.755,0.723317,521
101.735,0.724,530
102.26,0.723515,500.09
102.43,0.72343,483.11
102.402,0.7238,503.8
102.395,0.72385,500
102.395,0.72385,496.74
102.5785,0.724955,490
102.627,0.72461,492
102.318,0.723855,502.2
102.274,0.7233,466.52
102.154,0.72265,459
102.1905,0.722855,430
102.195,0.72291,442.9
102.36,0.722079,448
102.565,0.724113,448.85
102.131,0.721244,460.97
102.258,0.721049,454.5
102.2495,0.720788,439
102.2055,0.720735,438.04
102.195,0.72067,433
102.09,0.720534,428.01
101.55,0.717793,440
101.71,0.71875,437.69
101.519,0.721769,452.37
101.815,0.726932,455.39
101.865,0.726745,440
101.865,0.726745,442.5
102.146,0.726847,439.12
102.3035,0.730025,446
101.81,0.7296,446
101.448,0.728938,447.31
101.481,0.730167,449.06
101.545,0.73027,446.91
101.535,0.730195,448.34
101.2885,0.72921,489
101.237,0.730327,493.98
101.489,0.73192,529.99
101.81,0.732679,523.77
101.95,0.733461,528.44
101.965,0.733675,573.9
101.965,0.73346,581.88
101.925,0.73284,572.7
102.107,0.734301,580.66
101.794,0.735635,572.37
101.713,0.735185,621
101.751,0.73313,627.8
101.785,0.733575,630.99
101.785,0.733575,661.22
102.387,0.735327,670.14
102.527,0.733765,640.59
102.698,0.735105,661.48
102.417,0.73189,647.16
102.5845,0.733235,657.13
102.495,0.73303,658
102.495,0.73303,648.83
102.5465,0.736015,648.55
102.385,0.738645,620.5
102.018,0.738872,569.1
101.6825,0.73736,592
102.0195,0.738823,566.58
102.045,0.738555,588.55
102.045,0.738555,586.91
101.856,0.737015,606.48
