Timestamp,Date,Avg Rate (%/day),Total Amount Active Swaps (USD)
1462822308,5/9/16 21:31,0.04574,31363794.95
1462818721,5/9/16 20:32,0.04562,31219867.84
1462815105,5/9/16 19:31,0.04554,31202645.74
1462811508,5/9/16 18:31,0.04548,31247753.6
1462807929,5/9/16 17:32,0.04543,31414969.96
1462804306,5/9/16 16:31,0.04542,31413599.97
1462800694,5/9/16 15:31,0.0454,31334235.92
1462797105,5/9/16 14:31,0.04538,31311327.17
1462793509,5/9/16 13:31,0.04535,31323023.05
1462789918,5/9/16 12:31,0.04534,31326923.19
1462786319,5/9/16 11:31,0.04533,31318827.57
1462782725,5/9/16 10:32,0.04532,31327036.56
1462779097,5/9/16 9:31,0.0453,31307868.65
1462775521,5/9/16 8:32,0.04529,31300845.38
1462771905,5/9/16 7:31,0.04529,31302304.85
1462768315,5/9/16 6:31,0.04528,31321674.89
1462764697,5/9/16 5:31,0.04527,31308330.52
1462761095,5/9/16 4:31,0.04524,31314175.32
1462757514,5/9/16 3:31,0.04524,31308195.55
1462753896,5/9/16 2:31,0.04526,31219802.1
1462750299,5/9/16 1:31,0.04525,31262138.58
1462746707,5/9/16 0:31,0.04525,31297502.25
1462743099,5/8/16 23:31,0.04526,31150689.51
1462739522,5/8/16 22:32,0.04526,31249153.28
1462735892,5/8/16 21:31,0.04532,31167721.65
1462732329,5/8/16 20:32,0.04536,31238046.38
1462728708,5/8/16 19:31,0.04547,31285440.43
1462725114,5/8/16 18:31,0.04552,31288104.79
1462721509,5/8/16 17:31,0.04557,31248465.09
1462717913,5/8/16 16:31,0.04559,31232906.61
1462714305,5/8/16 15:31,0.04565,31260143.3
1462710700,5/8/16 14:31,0.04561,31269109.26
1462707121,5/8/16 13:32,0.04558,31407055.23
1462703502,5/8/16 12:31,0.04556,31413937
1462699904,5/8/16 11:31,0.04554,31489658.82
1462696305,5/8/16 10:31,0.04552,31440828.52
1462692706,5/8/16 9:31,0.04552,31400352.74
1462689120,5/8/16 8:32,0.04552,31395215.51
1462685503,5/8/16 7:31,0.04549,31395834.51
1462681908,5/8/16 6:31,0.04547,31383953.59
1462678312,5/8/16 5:31,0.04546,31401628.02
1462674712,5/8/16 4:31,0.04545,31403863.83
1462671103,5/8/16 3:31,0.04544,31411763.12
1462667508,5/8/16 2:31,0.04543,31409815.22
1462663914,5/8/16 1:31,0.04543,31395468.48
1462660305,5/8/16 0:31,0.04541,31400000.23
1462656704,5/7/16 23:31,0.04541,31343638.13
1462653121,5/7/16 22:32,0.04538,31246303.89
